Package last-used report
Generated: 2026-08-29 07:04:52
Packages: 717

PACKAGE                                   TYPE    VERSION     LAST USED    ENV               PATH
PySide6                                   python  6.10.1      unknown      conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/PySide6-6.10.1.dist-info
PyQt5_sip                                 python  12.17.0     unknown      conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/PyQt5_sip-12.17.0-py3.13.egg-info
shiboken6                                 python  6.10.1      unknown      conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/shiboken6-6.10.1.dist-info
pydeck                                    python  0.2.1       2020-02-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pydeck-0.2.1.dist-info
munkres                                   python  1.1.4       2020-09-15   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/munkres-1.1.4-py3.9.egg-info
ptyprocess                                python  0.7.0       2020-12-30   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/ptyprocess-0.7.0.dist-info
defusedxml                                python  0.7.1       2021-03-08   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/defusedxml-0.7.1.dist-info
pandocfilters                             python  1.5.0       2022-01-28   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pandocfilters-1.5.0.dist-info
pyxdg                                     python  0.28        2022-06-06   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pyxdg-0.28.dist-info
intervaltree                              python  3.1.0       2023-05-08   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/intervaltree-3.1.0.dist-info
multipledispatch                          python  0.6.0       2024-07-25   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/multipledispatch-0.6.0.dist-info
python-dateutil                           python  2.9.0.post0  2024-10-10   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/python_dateutil-2.9.0.post0.dist-info
rfc3986_validator                         python  0.1.1       2024-10-10   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/rfc3986_validator-0.1.1.dist-info
locket                                    python  1.0.0       2024-10-10   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/locket-1.0.0.dist-info
pytoolconfig                              python  1.2.6       2024-10-10   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pytoolconfig-1.2.6.dist-info
inflection                                python  0.5.1       2024-10-10   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/inflection-0.5.1.dist-info
qstylizer                                 python  0.2.4       2024-11-21   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/qstylizer-0.2.4.dist-info
mccabe                                    python  0.7.0       2024-12-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/mccabe-0.7.0.dist-info
PySocks                                   python  1.7.1       2024-12-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/PySocks-1.7.1.dist-info
colorama                                  python  0.4.6       2024-12-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/colorama-0.4.6.dist-info
webencodings                              python  0.5.1       2024-12-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/webencodings-0.5.1.dist-info
ply                                       python  3.11        2024-12-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/ply-3.11.dist-info
mdurl                                     python  0.1.2       2024-12-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/mdurl-0.1.2.dist-info
zict                                      python  3.0.0       2024-12-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/zict-3.0.0.dist-info
pexpect                                   python  4.9.0       2024-12-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pexpect-4.9.0.dist-info
itsdangerous                              python  2.2.0       2024-12-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/itsdangerous-2.2.0.dist-info
uri-template                              python  1.3.0       2024-12-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/uri_template-1.3.0.dist-info
nest_asyncio                              python  1.6.0       2024-12-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/nest_asyncio-1.6.0.dist-info
entrypoints                               python  0.4         2024-12-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/entrypoints-0.4.dist-info
